l1: 0.56
l2: 0.73

Month1  l1: 0.86 	 l2: 1.08
Month2  l1: 0.57 	 l2: 0.77
Month3  l1: 0.65 	 l2: 0.83
Month4  l1: 0.33 	 l2: 0.42
Month5  l1: 0.77 	 l2: 0.90
Month6  l1: 0.31 	 l2: 0.42
Month7  l1: 0.72 	 l2: 0.81
Month8  l1: 0.35 	 l2: 0.51
Month9  l1: 0.49 	 l2: 0.55
Month10  l1: 0.64 	 l2: 0.74
Month11  l1: 0.30 	 l2: 0.49
Month12  l1: 0.77 	 l2: 0.92
