l1: 0.54
l2: 0.72

Month1  l1: 0.68 	 l2: 0.95
Month2  l1: 0.74 	 l2: 1.02
Month3  l1: 0.77 	 l2: 0.91
Month4  l1: 0.41 	 l2: 0.49
Month5  l1: 0.46 	 l2: 0.56
Month6  l1: 0.42 	 l2: 0.54
Month7  l1: 0.45 	 l2: 0.54
Month8  l1: 0.75 	 l2: 0.85
Month9  l1: 0.34 	 l2: 0.49
Month10  l1: 0.40 	 l2: 0.60
Month11  l1: 0.56 	 l2: 0.76
Month12  l1: 0.46 	 l2: 0.69
