l1: 0.59
l2: 0.75

Month1  l1: 0.90 	 l2: 1.02
Month2  l1: 0.38 	 l2: 0.43
Month3  l1: 0.21 	 l2: 0.28
Month4  l1: 0.22 	 l2: 0.29
Month5  l1: 0.30 	 l2: 0.34
Month6  l1: 0.21 	 l2: 0.29
Month7  l1: 1.39 	 l2: 1.42
Month8  l1: 1.17 	 l2: 1.22
Month9  l1: 0.48 	 l2: 0.51
Month10  l1: 0.64 	 l2: 0.66
Month11  l1: 0.44 	 l2: 0.53
Month12  l1: 0.72 	 l2: 0.82
