1971
f11: l1 = 1.63; l2 = 2.27
f12: l1 = 1.90; l2 = 2.53
f13: l1 = 2.24; l2 = 2.85
f14: l1 = 2.26; l2 = 2.88

1982
f1: l1 = 2.39; l2 = 3.77
f2: l1 = 2.50; l2 = 3.27
f3: l1 = 2.98; l2 = 3.82
f4: l1 = 2.60; l2 = 3.49
f5: l1 = 2.99; l2 = 3.70
f6: l1 = 1.97; l2 = 2.50
f7: l1 = 2.62; l2 = 3.47
f8: l1 = 2.70; l2 = 3.87
f9: l1 = 2.23; l2 = 3.28
f10: l1 = 2.21; l2 = 3.18
f11: l1 = 2.20; l2 = 2.85
f12: l1 = 2.39; l2 = 3.21
f13: l1 = 2.01; l2 = 2.50
f14: l1 = 3.34; l2 = 4.46

1983
f1: l1 = 2.62; l2 = 3.63
f2: l1 = 3.63; l2 = 5.29
f3: l1 = 2.22; l2 = 2.80
f4: l1 = 2.80; l2 = 3.63
f5: l1 = 1.52; l2 = 1.93
f6: l1 = 2.67; l2 = 3.30
f7: l1 = 1.81; l2 = 2.35
f8: l1 = 2.89; l2 = 3.89
f9: l1 = 3.30; l2 = 4.15
f10: l1 = 3.42; l2 = 4.54
f11: l1 = 2.83; l2 = 3.54
f12: l1 = 2.37; l2 = 2.98
f13: l1 = 2.07; l2 = 2.64
f14: l1 = 2.00; l2 = 2.61

1984
f1: l1 = 2.45; l2 = 2.93
f2: l1 = 2.36; l2 = 3.07
f3: l1 = 2.21; l2 = 2.72
f4: l1 = 2.56; l2 = 3.16
f5: l1 = 1.99; l2 = 2.47
f6: l1 = 2.10; l2 = 2.81
f7: l1 = 1.53; l2 = 2.24
f8: l1 = 1.96; l2 = 3.05
f9: l1 = 2.06; l2 = 3.10
f10: l1 = 2.34; l2 = 3.71
f11: l1 = 2.28; l2 = 3.15
f12: l1 = 2.65; l2 = 3.46
f13: l1 = 2.33; l2 = 3.10
f14: l1 = 2.67; l2 = 3.53

1985
f1: l1 = 2.98; l2 = 4.37
f2: l1 = 3.01; l2 = 4.56
f3: l1 = 3.52; l2 = 5.13
f4: l1 = 3.11; l2 = 4.72
f5: l1 = 2.62; l2 = 4.14
f6: l1 = 2.77; l2 = 3.52
f7: l1 = 2.73; l2 = 3.94
f8: l1 = 3.43; l2 = 4.51
f9: l1 = 3.22; l2 = 4.58
f10: l1 = 3.60; l2 = 4.82
f11: l1 = 3.03; l2 = 3.98
f12: l1 = 2.59; l2 = 3.36
f13: l1 = 2.84; l2 = 3.43
f14: l1 = 3.81; l2 = 5.63

1986
f1: l1 = 1.91; l2 = 2.52
f2: l1 = 2.37; l2 = 2.88
f3: l1 = 2.73; l2 = 3.63
f4: l1 = 3.00; l2 = 4.02
f5: l1 = 2.38; l2 = 2.98
f6: l1 = 2.20; l2 = 2.74
f7: l1 = 2.93; l2 = 4.11
f8: l1 = 2.42; l2 = 3.39
f9: l1 = 2.29; l2 = 3.35
f10: l1 = 2.52; l2 = 3.59
f11: l1 = 2.40; l2 = 2.93
f12: l1 = 2.39; l2 = 2.91
f13: l1 = 2.57; l2 = 3.26
f14: l1 = 2.62; l2 = 3.49

1987
f1: l1 = 3.00; l2 = 4.72
f2: l1 = 3.30; l2 = 4.92
f3: l1 = 3.18; l2 = 4.22
f4: l1 = 3.43; l2 = 4.76
f5: l1 = 2.32; l2 = 3.27
f6: l1 = 3.25; l2 = 4.43
f7: l1 = 2.89; l2 = 3.71
f8: l1 = 3.13; l2 = 4.43
f9: l1 = 3.43; l2 = 4.72
f10: l1 = 3.62; l2 = 5.04
f11: l1 = 3.24; l2 = 4.14
f12: l1 = 3.57; l2 = 4.76
f13: l1 = 3.27; l2 = 4.45
