1971
f11: l1 = 1.60; l2 = 2.21
f12: l1 = 1.83; l2 = 2.46
f13: l1 = 2.18; l2 = 2.80
f14: l1 = 2.26; l2 = 2.88

1982
f1: l1 = 2.39; l2 = 3.80
f2: l1 = 2.57; l2 = 3.44
f3: l1 = 2.75; l2 = 3.59
f4: l1 = 2.56; l2 = 3.40
f5: l1 = 2.97; l2 = 3.63
f6: l1 = 1.80; l2 = 2.19
f7: l1 = 2.56; l2 = 3.48
f8: l1 = 2.68; l2 = 3.82
f9: l1 = 2.30; l2 = 3.34
f10: l1 = 2.26; l2 = 3.24
f11: l1 = 2.16; l2 = 2.79
f12: l1 = 2.36; l2 = 3.17
f13: l1 = 1.96; l2 = 2.42
f14: l1 = 3.36; l2 = 4.48

1983
f1: l1 = 2.59; l2 = 3.55
f2: l1 = 3.62; l2 = 5.32
f3: l1 = 1.95; l2 = 2.58
f4: l1 = 2.78; l2 = 3.59
f5: l1 = 1.52; l2 = 1.93
f6: l1 = 2.34; l2 = 2.91
f7: l1 = 1.81; l2 = 2.34
f8: l1 = 2.78; l2 = 3.78
f9: l1 = 3.18; l2 = 4.03
f10: l1 = 3.35; l2 = 4.48
f11: l1 = 2.76; l2 = 3.51
f12: l1 = 2.36; l2 = 2.99
f13: l1 = 2.07; l2 = 2.66
f14: l1 = 2.09; l2 = 2.69

1984
f1: l1 = 2.39; l2 = 2.89
f2: l1 = 2.33; l2 = 3.06
f3: l1 = 2.10; l2 = 2.62
f4: l1 = 2.49; l2 = 3.09
f5: l1 = 1.97; l2 = 2.45
f6: l1 = 1.76; l2 = 2.37
f7: l1 = 1.48; l2 = 2.14
f8: l1 = 1.89; l2 = 2.96
f9: l1 = 2.03; l2 = 3.03
f10: l1 = 2.28; l2 = 3.61
f11: l1 = 2.22; l2 = 3.05
f12: l1 = 2.52; l2 = 3.28
f13: l1 = 2.23; l2 = 2.96
f14: l1 = 2.66; l2 = 3.52

1985
f1: l1 = 2.96; l2 = 4.40
f2: l1 = 2.99; l2 = 4.57
f3: l1 = 3.35; l2 = 5.02
f4: l1 = 3.11; l2 = 4.74
f5: l1 = 2.65; l2 = 4.21
f6: l1 = 2.58; l2 = 3.32
