l1: 0.11
l2: 0.15

Month1  l1: 0.14 	 l2: 0.19
Month2  l1: 0.12 	 l2: 0.16
Month3  l1: 0.13 	 l2: 0.17
Month4  l1: 0.11 	 l2: 0.15
Month5  l1: 0.11 	 l2: 0.14
Month6  l1: 0.10 	 l2: 0.15
Month7  l1: 0.11 	 l2: 0.16
Month8  l1: 0.10 	 l2: 0.17
Month9  l1: 0.10 	 l2: 0.14
Month10  l1: 0.09 	 l2: 0.13
Month11  l1: 0.08 	 l2: 0.11
Month12  l1: 0.08 	 l2: 0.11
