l1: 1.05
l2: 1.33

Month1  l1: 1.99 	 l2: 2.05
Month2  l1: 0.80 	 l2: 0.92
Month3  l1: 2.29 	 l2: 2.44
Month4  l1: 1.24 	 l2: 1.34
Month5  l1: 0.26 	 l2: 0.33
Month6  l1: 0.24 	 l2: 0.35
Month7  l1: 1.25 	 l2: 1.28
Month8  l1: 0.52 	 l2: 0.65
Month9  l1: 0.15 	 l2: 0.22
Month10  l1: 0.58 	 l2: 0.68
Month11  l1: 1.86 	 l2: 1.90
Month12  l1: 1.36 	 l2: 1.46
