l1: 0.16
l2: 0.23

Month1  l1: 0.19 	 l2: 0.30
Month2  l1: 0.20 	 l2: 0.29
Month3  l1: 0.18 	 l2: 0.24
Month4  l1: 0.18 	 l2: 0.25
Month5  l1: 0.17 	 l2: 0.23
Month6  l1: 0.15 	 l2: 0.19
Month7  l1: 0.14 	 l2: 0.19
Month8  l1: 0.14 	 l2: 0.19
Month9  l1: 0.11 	 l2: 0.17
Month10  l1: 0.15 	 l2: 0.22
Month11  l1: 0.14 	 l2: 0.22
Month12  l1: 0.17 	 l2: 0.25
