l1: 0.749981
l2: 0.930752

Month1  l1: 1.34357 	 l2: 1.43896
Month2  l1: 0.806124 	 l2: 0.97066
Month3  l1: 0.567485 	 l2: 0.753479
Month4  l1: 1.16296 	 l2: 1.24728
Month5  l1: 1.16131 	 l2: 1.23
Month6  l1: 0.257786 	 l2: 0.321977
Month7  l1: 1.33298 	 l2: 1.36516
Month8  l1: 0.877657 	 l2: 0.944331
Month9  l1: 0.279009 	 l2: 0.324918
Month10  l1: 0.601249 	 l2: 0.669414
Month11  l1: 0.327674 	 l2: 0.423578
Month12  l1: 0.281972 	 l2: 0.392753
