l1: 0.58
l2: 0.78

Month1  l1: 0.73 	 l2: 1.02
Month2  l1: 0.70 	 l2: 0.99
Month3  l1: 0.51 	 l2: 0.66
Month4  l1: 1.16 	 l2: 1.26
Month5  l1: 1.05 	 l2: 1.10
Month6  l1: 0.36 	 l2: 0.45
Month7  l1: 0.31 	 l2: 0.41
Month8  l1: 0.47 	 l2: 0.55
Month9  l1: 0.29 	 l2: 0.38
Month10  l1: 0.23 	 l2: 0.34
Month11  l1: 0.47 	 l2: 0.62
Month12  l1: 0.68 	 l2: 0.88
