l1: 0.35
l2: 0.44

Month1  l1: 0.68 	 l2: 0.74
Month2  l1: 0.35 	 l2: 0.43
Month3  l1: 0.26 	 l2: 0.33
Month4  l1: 0.40 	 l2: 0.51
Month5  l1: 0.34 	 l2: 0.42
Month6  l1: 0.35 	 l2: 0.44
Month7  l1: 0.30 	 l2: 0.36
Month8  l1: 0.39 	 l2: 0.46
Month9  l1: 0.31 	 l2: 0.41
Month10  l1: 0.25 	 l2: 0.32
Month11  l1: 0.24 	 l2: 0.30
Month12  l1: 0.30 	 l2: 0.36
