l1: 0.588807
l2: 0.749853

Month1  l1: 0.904836 	 l2: 1.01611
Month2  l1: 0.37909 	 l2: 0.434326
Month3  l1: 0.214752 	 l2: 0.275982
Month4  l1: 0.215871 	 l2: 0.286224
Month5  l1: 0.298077 	 l2: 0.337536
Month6  l1: 0.214278 	 l2: 0.292537
Month7  l1: 1.38831 	 l2: 1.42189
Month8  l1: 1.16712 	 l2: 1.22491
Month9  l1: 0.483163 	 l2: 0.513156
Month10  l1: 0.636192 	 l2: 0.661
Month11  l1: 0.439707 	 l2: 0.528739
Month12  l1: 0.724291 	 l2: 0.816491
