l1: 1.07
l2: 1.45

Month1  l1: 2.02 	 l2: 2.11
Month2  l1: 1.53 	 l2: 1.61
Month3  l1: 0.40 	 l2: 0.51
Month4  l1: 0.36 	 l2: 0.45
Month5  l1: 0.24 	 l2: 0.30
Month6  l1: 0.23 	 l2: 0.29
Month7  l1: 2.43 	 l2: 2.45
Month8  l1: 2.98 	 l2: 3.00
Month9  l1: 0.34 	 l2: 0.40
Month10  l1: 0.58 	 l2: 0.64
Month11  l1: 1.02 	 l2: 1.09
Month12  l1: 0.68 	 l2: 0.78
