l1: 0.77
l2: 0.93

Month1  l1: 0.86 	 l2: 1.06
Month2  l1: 0.80 	 l2: 0.97
Month3  l1: 0.47 	 l2: 0.58
Month4  l1: 0.82 	 l2: 0.90
Month5  l1: 0.98 	 l2: 1.04
Month6  l1: 0.85 	 l2: 0.95
Month7  l1: 0.90 	 l2: 1.01
Month8  l1: 1.43 	 l2: 1.57
Month9  l1: 0.46 	 l2: 0.54
Month10  l1: 0.39 	 l2: 0.50
Month11  l1: 0.64 	 l2: 0.77
Month12  l1: 0.60 	 l2: 0.77
